x,y
240.000000,188.000000
239.000000,189.000000
238.000000,189.000000
237.000000,190.000000
235.000000,190.000000
232.000000,193.000000
230.000000,193.000000
229.000000,194.000000
227.000000,194.000000
226.000000,195.000000
226.000000,197.000000
227.000000,198.000000
227.000000,203.000000
228.000000,204.000000
230.000000,204.000000
232.000000,206.000000
232.000000,207.000000
233.000000,208.000000
235.000000,208.000000
236.000000,207.000000
236.000000,205.000000
235.000000,204.000000
235.000000,203.000000
232.000000,200.000000
232.000000,199.000000
235.000000,196.000000
235.000000,194.000000
237.000000,192.000000
239.000000,192.000000
242.000000,195.000000
241.000000,196.000000
241.000000,199.000000
242.000000,200.000000
243.000000,200.000000
244.000000,199.000000
244.000000,198.000000
246.000000,196.000000
246.000000,194.000000
245.000000,193.000000
245.000000,192.000000
241.000000,188.000000
