x,y
228.000000,89.000000
227.000000,90.000000
226.000000,90.000000
223.000000,93.000000
223.000000,96.000000
224.000000,97.000000
227.000000,94.000000
228.000000,94.000000
230.000000,96.000000
230.000000,97.000000
228.000000,99.000000
228.000000,101.000000
229.000000,102.000000
231.000000,102.000000
232.000000,103.000000
240.000000,103.000000
241.000000,102.000000
242.000000,103.000000
246.000000,103.000000
247.000000,102.000000
248.000000,103.000000
250.000000,103.000000
251.000000,104.000000
253.000000,104.000000
254.000000,105.000000
255.000000,105.000000
255.000000,93.000000
253.000000,93.000000
252.000000,92.000000
247.000000,92.000000
243.000000,96.000000
243.000000,97.000000
244.000000,98.000000
242.000000,100.000000
241.000000,100.000000
239.000000,98.000000
241.000000,96.000000
237.000000,92.000000
236.000000,93.000000
235.000000,93.000000
231.000000,89.000000
