x,y
232.000000,246.000000
231.000000,247.000000
228.000000,247.000000
227.000000,248.000000
228.000000,249.000000
228.000000,251.000000
226.000000,253.000000
226.000000,255.000000
236.000000,255.000000
236.000000,253.000000
235.000000,252.000000
235.000000,251.000000
237.000000,249.000000
238.000000,249.000000
239.000000,250.000000
242.000000,250.000000
243.000000,249.000000
242.000000,248.000000
239.000000,248.000000
238.000000,249.000000
237.000000,249.000000
235.000000,247.000000
234.000000,247.000000
233.000000,246.000000
