x,y
135.000000,98.000000
133.000000,100.000000
133.000000,101.000000
129.000000,105.000000
129.000000,106.000000
128.000000,107.000000
128.000000,110.000000
127.000000,111.000000
127.000000,112.000000
128.000000,113.000000
129.000000,112.000000
130.000000,112.000000
132.000000,110.000000
133.000000,110.000000
136.000000,107.000000
136.000000,106.000000
137.000000,105.000000
137.000000,99.000000
136.000000,98.000000
